accession	annotator_id	csid	date	value	source
Pp1s123_125V6.1	cosmoss		2009-06-30 12:43:33	chr1527	cosmoss|V1.2-5_mapping_Phypa_216086
Pp1s123_14V6.1	lloyd		2010-09-17 13:31:57	upf2
Pp1s124_108V6.1	decker		2009-07-03 13:52:58	Rb3	cosmoss|V1.2-5_mapping_Phypa_444075
Pp1s124_90V6.1	zimmer	287	2012-01-23 09:16:31	aldh3c
Pp1s125_77V6.1	cosmoss		2009-06-30 12:34:58	abcf7	cosmoss|V1.2-5_mapping_Phypa_30640
Pp1s125_96V6.1	cosmoss		2009-06-30 12:37:25	erl2b	cosmoss|V1.2-5_mapping_Phypa_136017
Pp1s126_126V6.1	student		2010-07-23 16:06:55	rac1	cosmoss|V1.2-5_mapping_Phypa_188969
Pp1s126_126V6.2	student		2010-07-23 16:06:55	rac1	cosmoss|V1.2-5_mapping_Phypa_188969
Pp1s126_141V6.1	cosmoss		2009-06-30 12:35:45	sig1	cosmoss|V1.2-5_mapping_Phypa_166875
Pp1s126_141V6.2	cosmoss		2009-06-30 12:35:45	sig1	cosmoss|V1.2-5_mapping_Phypa_166875
Pp1s127_95V6.1	cosmoss		2009-06-30 12:34:58	hda1502	cosmoss|V1.2-5_mapping_Phypa_189033
Pp1s12_126V6.1	cosmoss		2009-06-30 12:44:01	per1	cosmoss|V1.2-5_mapping_Phypa_202843
Pp1s12_186V6.1	cosmoss		2009-06-30 12:51:14	uvr3	cosmoss|V1.2-5_mapping_Phypa_114984
Pp1s12_186V6.2	cosmoss		2009-06-30 12:51:14	uvr3	cosmoss|V1.2-5_mapping_Phypa_114984
Pp1s12_186V6.3	cosmoss		2009-06-30 12:51:14	uvr3	cosmoss|V1.2-5_mapping_Phypa_114984
Pp1s12_244V6.1	student		2010-07-14 12:46:37	dellaB	cosmoss|V1.2-5_mapping_Phypa_425455
Pp1s12_267V6.1	cosmoss		2009-06-30 12:51:15	rabh11	cosmoss|V1.2-5_mapping_Phypa_159393
Pp1s12_29V6.1	cosmoss		2009-06-30 12:37:50	abcg15	cosmoss|V1.2-5_mapping_Phypa_175287
Pp1s12_347V6.2	oesterle	324,323	2012-08-22 10:50:38	xfb1
Pp1s12_351V6.1	cosmoss		2009-06-30 12:40:03	nfc1501	cosmoss|V1.2-5_mapping_Phypa_159414
Pp1s12_58V6.1	student	171	2010-07-14 13:44:48	nrt2_5	cosmoss|V1.2-5_mapping_Phypa_425384
Pp1s12_8V6.1	oesterle	332	2012-09-19 22:11:33	sos1A
Pp1s12_93V6.1	cosmoss		2009-06-30 12:44:01	htr1507	cosmoss|V1.2-5_mapping_Phypa_66758
Pp1s130_5V6.1	oesterle	335	2012-09-19 22:20:15	cps/ks
Pp1s131_109V6.1	cosmoss		2009-06-30 12:35:46	arid1503	cosmoss|V1.2-5_mapping_Phypa_13411
Pp1s131_123V6.1	oesterle	333	2012-09-19 22:14:40	myoXIa
Pp1s131_18V6.1	oesterle	313	2012-09-30 20:50:47	xMAP215b
Pp1s132_47V6.1	student	171	2010-07-14 13:29:31	nar2_1	cosmoss|V1.2-5_mapping_Phypa_216690
Pp1s133_103V6.1	cosmoss		2009-06-30 12:45:59	hfo1505	cosmoss|V1.2-5_mapping_Phypa_136891
Pp1s134_113V6.1	cosmoss	341	2009-06-30 12:48:23	plc1	cosmoss|V1.2-5_mapping_Phypa_216835
Pp1s134_179V6.1	oesterle	311	2012-04-29 13:52:00	hak13
Pp1s134_4V6.1	oesterle	273	2011-12-19 14:20:47	cyp78a28
Pp1s136_191V6.1	cosmoss		2009-06-30 12:46:49	abcc6	cosmoss|V1.2-5_mapping_Phypa_137284
Pp1s137_148V6.2	oesterle	323	2012-09-29 22:51:38	afb3
Pp1s137_19V6.1	patil		2010-09-14 10:02:13	isopentenyl transferase
Pp1s138_41V6.1	student	135	2010-07-14 12:56:47	pbp	cosmoss|V1.2-5_mapping_Phypa_445427
Pp1s138_79V6.1	cosmoss		2009-06-30 12:42:03	cpk17	cosmoss|V1.2-5_mapping_Phypa_189881
Pp1s139_64V6.1	cosmoss		2009-06-30 12:37:26	mscl12	cosmoss|V1.2-5_mapping_Phypa_217284
Pp1s13_111V6.1	cosmoss		2009-06-30 12:40:03	ham1501	cosmoss|V1.2-5_mapping_Phypa_115486
Pp1s13_132V6.1	cosmoss		2009-06-30 12:40:03	cals9	cosmoss|V1.2-5_mapping_Phypa_115455
Pp1s13_282V6.1	oesterle	363	2012-09-29 23:46:47	for2B
Pp1s13_321V6.1	cosmoss		2009-06-30 12:47:14	gtf1502.2	cosmoss|V1.2-5_mapping_Phypa_115252
Pp1s13_403V6.1	cosmoss		2009-06-30 12:40:03	phy5c	cosmoss|V1.2-5_mapping_Phypa_115388
Pp1s13_419V6.1	cosmoss		2009-06-30 12:44:01	patpa1503	cosmoss|V1.2-5_mapping_Phypa_203204
Pp1s13_9V6.1	cosmoss		2009-06-30 12:39:19	plc4	cosmoss|V1.2-5_mapping_Phypa_202996
Pp1s13_9V6.2	cosmoss		2009-06-30 12:39:19	plc4	cosmoss|V1.2-5_mapping_Phypa_202996
Pp1s140_1V6.1	lang	69	2009-07-04 11:30:28	elip1.2.4	cosmoss|V1.2-5_mapping_Phypa_232843
Pp1s140_87V6.1	cosmoss		2009-06-30 12:42:48	wrky3	cosmoss|V1.2-5_mapping_Phypa_137776
Pp1s142_27V6.1	cosmoss		2009-06-30 12:41:15	abcc8	cosmoss|V1.2-5_mapping_Phypa_167276
Pp1s142_41V6.1	cosmoss		2009-06-30 12:35:00	hda1508	cosmoss|V1.2-5_mapping_Phypa_190158
Pp1s143_12V6.1	oesterle	301	2012-02-24 11:42:50	agp1
Pp1s143_150V6.1	cosmoss		2009-06-30 12:47:40	brd1503	cosmoss|V1.2-5_mapping_Phypa_167346
Pp1s143_48V6.1	cosmoss		2009-06-30 12:35:48	abca3	cosmoss|V1.2-5_mapping_Phypa_190218
Pp1s143_51V6.1	cosmoss		2009-06-30 12:35:48	abca3	cosmoss|V1.2-5_mapping_Phypa_190218
Pp1s143_82V6.1	oesterle	317	2012-07-13 13:53:22	abi3C
Pp1s144_25V6.1	oesterle	312	2012-06-11 13:00:25	crl3
Pp1s144_35V6.1	cosmoss		2009-06-30 12:35:00	gta1501	cosmoss|V1.2-5_mapping_Phypa_138209
Pp1s145_46V6.1	cosmoss		2009-06-30 12:46:01	hta1509	cosmoss|V1.2-5_mapping_Phypa_138283
Pp1s145_70V6.1	cosmoss		2009-06-30 12:39:41	hda1501	cosmoss|V1.2-5_mapping_Phypa_138277
Pp1s145_70V6.2	cosmoss		2009-06-30 12:39:41	hda1501	cosmoss|V1.2-5_mapping_Phypa_138277
Pp1s145_84V6.1	cosmoss		2009-06-30 12:39:41	hdma1501	cosmoss|V1.2-5_mapping_Phypa_217676
Pp1s147_136V6.1	oesterle	254	2012-03-12 16:48:21	rsl1
Pp1s147_153V6.1	cosmoss		2009-06-30 12:35:48	gpa1	cosmoss|V1.2-5_mapping_Phypa_190525
Pp1s147_27V6.1	cosmoss		2009-06-30 12:36:39	tyn12	cosmoss|V1.2-5_mapping_Phypa_86528
Pp1s147_28V6.1	cosmoss		2009-06-30 12:36:39	tyn12	cosmoss|V1.2-5_mapping_Phypa_86528
Pp1s147_37V6.1	oesterle	338	2012-09-19 22:43:07	expB2
Pp1s148_148V6.1	cosmoss		2009-06-30 12:35:01	ago1507	cosmoss|V1.2-5_mapping_Phypa_48437
Pp1s148_154V6.1	cosmoss	287	2009-06-30 12:35:49	aldh11e	cosmoss|V1.2-5_mapping_Phypa_232053
Pp1s148_154V6.2	cosmoss		2009-06-30 12:35:49	aldh11e	cosmoss|V1.2-5_mapping_Phypa_232053
Pp1s148_155V6.1	cosmoss		2009-06-30 12:35:49	aldh11e	cosmoss|V1.2-5_mapping_Phypa_232053
Pp1s148_42V6.1	cosmoss		2009-06-30 12:43:36	brd1504	cosmoss|V1.2-5_mapping_Phypa_167500
Pp1s149_180V6.1	oesterle	308	2012-03-13 16:58:25	dof2
Pp1s149_36V6.1	cosmoss		2009-06-30 12:51:41	dcl1507	cosmoss|V1.2-5_mapping_Phypa_86688
Pp1s149_37V6.1	cosmoss		2009-06-30 12:51:41	dcl1507	cosmoss|V1.2-5_mapping_Phypa_86688
Pp1s14_101V6.1	cosmoss		2009-06-30 12:47:14	dng1501	cosmoss|V1.2-5_mapping_Phypa_115830
Pp1s14_204V6.1	oesterle	261	2012-03-09 08:40:43	mray
Pp1s14_240V6.1	cosmoss		2009-06-30 12:43:13	pafe1501	cosmoss|V1.2-5_mapping_Phypa_203372
Pp1s14_240V6.2	cosmoss		2009-06-30 12:43:13	pafe1501	cosmoss|V1.2-5_mapping_Phypa_203372
Pp1s14_257V6.1	oesterle	313	2012-08-06 10:58:50	aug2
Pp1s14_267V6.1	cosmoss		2009-06-30 12:46:27	snla	cosmoss|V1.2-5_mapping_Phypa_115730
